event_id,domain,close_time,resolve_time,market_prob,baseline_prob,outcome
fpd-spo-ala-2026-04-12-spread-away-2pt5,sports,1775955600.0,1776027600.0,0.51,0.51,0
fpd-pun-sap-2026-04-26-btts,sports,1777237200.0,1777237200.0,0.525,0.525,1
fpd-sap-gua-2026-04-22-spread-home-1pt5,sports,1776907800.0,1776909600.0,0.635,0.635,1
fpd-spo-int-2026-08-28-total-1pt5,sports,1787965200.0,1787968800.0,0.775,0.775,1
fpd-esc-car-2026-08-22-total-3pt5,sports,1787436000.0,1787439600.0,0.275,0.275,1
fpd-car-spo-2026-08-07-first-half-total-2pt5,sports,1786150800.0,1786154400.0,0.09,0.09,0
fpd-pun-spo-2026-04-19-pun,sports,1776556800.0,1776632400.0,0.43,0.43,0
fpd-car-spo-2026-08-07-spo,sports,1786150800.0,1786154400.0,0.25,0.25,0
fpd-her-sca-2026-04-19-total-2pt5,sports,1776560400.0,1776632400.0,0.485,0.485,0
fpd-her-ala-2026-08-09-btts,sports,1786316400.0,1786320000.0,0.505,0.505,0
fpd-spo-car-2026-04-01-car,sports,1775091600.0,1775095200.0,0.26,0.26,1
fpd-sap-per-2026-04-01-per,sports,1775091600.0,1775095200.0,0.43,0.43,0
fpd-sca-per-2026-04-26-total-2pt5,sports,1777075200.0,1777237200.0,0.475,0.475,0
fpd-esc-car-2026-08-22-total-5pt5,sports,1787436000.0,1787439600.0,0.0435,0.0435,0
fpd-lib-ala-2026-04-26-lib,sports,1777237200.0,1777237200.0,0.23,0.23,1
fpd-per-ala-2026-08-29-first-half-team-total-home-1pt5,sports,1788051600.0,1788055200.0,0.305,0.305,0
fpd-spo-car-2026-04-01-total-1pt5,sports,1775091600.0,1775095200.0,0.7,0.7,1
fpd-spo-int-2026-08-28-spread-away-2pt5,sports,1787965200.0,1787968800.0,0.015,0.015,0
fpd-pun-sap-2026-08-08-team-total-away-2pt5,sports,1786237200.0,1786240800.0,0.265,0.265,0
fpd-spo-ala-2026-04-12-total-3pt5,sports,1775955600.0,1776027600.0,0.245,0.245,0
fpd-spo-lib-2026-04-22-spread-away-1pt5,sports,1776812400.0,1776909600.0,0.165,0.165,0
