league,slug,kickoff,side,horizon_h,pm_price,avg_open,avg_close,b365_close,pin_close,bfe_close,outcome,volume
E0,epl-ars-wol-2025-12-13,2025-12-13T20:00:00+00:00,A,6,0.0379,0.0425,0.0427,0.0449,0.0361,0.0343,0,237455
E0,epl-ars-wol-2025-12-13,2025-12-13T20:00:00+00:00,A,24,0.037,0.0425,0.0427,0.0449,0.0361,0.0343,0,237455
E0,epl-che-eve-2025-12-13,2025-12-13T15:00:00+00:00,H,1,0.56,0.5709,0.5544,0.5478,0.5532,0.5595,1,867952
E0,epl-che-eve-2025-12-13,2025-12-13T15:00:00+00:00,H,6,0.55,0.5709,0.5544,0.5478,0.5532,0.5595,1,867952
E0,epl-che-eve-2025-12-13,2025-12-13T15:00:00+00:00,H,24,0.58,0.5709,0.5544,0.5478,0.5532,0.5595,1,867952
E0,epl-che-eve-2025-12-13,2025-12-13T15:00:00+00:00,D,1,0.24,0.243,0.2469,0.2527,0.2476,0.249,0,69376
E0,epl-che-eve-2025-12-13,2025-12-13T15:00:00+00:00,D,6,0.26,0.243,0.2469,0.2527,0.2476,0.249,0,69376
E0,epl-che-eve-2025-12-13,2025-12-13T15:00:00+00:00,D,24,0.25,0.243,0.2469,0.2527,0.2476,0.249,0,69376
E0,epl-che-eve-2025-12-13,2025-12-13T15:00:00+00:00,A,1,0.191,0.1862,0.1987,0.1995,0.1992,0.1915,0,122227
E0,epl-che-eve-2025-12-13,2025-12-13T15:00:00+00:00,A,6,0.198,0.1862,0.1987,0.1995,0.1992,0.1915,0,122227
E0,epl-che-eve-2025-12-13,2025-12-13T15:00:00+00:00,A,24,0.1888,0.1862,0.1987,0.1995,0.1992,0.1915,0,122227
E0,epl-cry-mac-2025-12-14,2025-12-14T14:00:00+00:00,H,1,0.23,0.237,0.2357,0.2373,0.2308,0.2267,0,551565
E0,epl-cry-mac-2025-12-14,2025-12-14T14:00:00+00:00,H,6,0.22,0.237,0.2357,0.2373,0.2308,0.2267,0,551565
